,date,sen,요일,라벨
0,2019.01.01,"""美 상·하원 외교위원장, 하원 군사위원장 교체""",화,0
13,2019.01.01,"美 ""김정은, 화해의 올리브 가지와 날카로운 가시 함께 내밀었다""",화,0
12,2019.01.01,2018 최고 투자는 '예술품·와인',화,0
11,2019.01.01,"日 게이단렌 회장 ""原電 건설 논의하자""",화,0
9,2019.01.01,"아베 ""일본의 내일 여는 선두에 설 것""",화,0
8,2019.01.01,"시진핑 ""어떤 어려움 만나도 자력갱생""",화,0
7,2019.01.01,"트럼프 ""모든 일 승리할 것…4년 더 있다""",화,0
10,2019.01.01,"마크롱 ""노란조끼로 개혁 멈출 수 없어""",화,0
5,2019.01.01,"뉴욕 타임스스퀘어 ""HAPPY NEW YEAR""",화,0
4,2019.01.01,"쓰나미 이어 산사태까지…""인니, 30가구 파묻혀 15명 사망""",화,0
3,2019.01.01,"日이시바 전 간사장 ""아베 추진 개헌, 국민적 논의 이르지 못해""",화,0
2,2019.01.01,"마크롱 ""개혁 중단 없다""…노란 조끼 정면돌파 선언",화,0
1,2019.01.01,러시아 우랄 아파트 붕괴 현장서 11개월 남자아이 기적적 구조,화,0
6,2019.01.01,[글로벌 톡톡] 리사 수 AMD CEO,화,0
22,2019.01.02,[글로벌 톡톡] 시안 왕 패스트스프링 CFO,수,0
27,2019.01.02,"중국 화웨이, 아이폰으로 새해 인사 올렸다가 망신",수,0
26,2019.01.02,마크롱 '변심'에 노란조끼 시위대 격분…주말 재집결 요구,수,0
25,2019.01.02,"美 기업들 ""AI 수출 왜 막나"" 집단 반발",수,0
24,2019.01.02,"中, 김정은 신년사에 ""한반도 비핵화 적극적 진전 기대""",수,0
23,2019.01.02,"""옴진리교 사형에 보복"" 日 도쿄 번화가 무차별 차량 테러 발생",수,0
21,2019.01.02,"시진핑 ""대만과 통일에 무력 사용 열려있다""",수,0
16,2019.01.02,도쿄에서 이사해 시즈오카현 중소기업에 취직하면 최대 1000만원 지원,수,0
19,2019.01.02,빌 게이츠의 '原電 꿈'…美·中 싸움에 깨질 판,수,0
18,2019.01.02,"日, 7일부터 '출국세 1000엔' 뗀다",수,0
17,2019.01.02,"'브라질의 트럼프' 보우소나루 ""작은 정부로 저성장 탈출할 것""",수,0
15,2019.01.02,"필리핀 들끓게 했던 한국산 쓰레기, 다음주 한국 돌아간다",수,0
14,2019.01.02,올해 EU 정치지형도 대변화?…오는 5월 유럽의회 선거 주목,수,0
20,2019.01.02,[사진이 있는 아침] 파리 개선문을 비춘 '화합'의 빛,수,0
97,2019.01.07,"""세계 경기둔화·무역전쟁…모두가 '발등의 불'인데 한국은 준비됐나""",월,0
96,2019.01.07,"정치적 위기 마크롱 ""3개월간 국민 토론하자""",월,0
95,2019.01.07,"일본, 해외 M&amp;A 6년 만에 中 따돌렸다",월,0
94,2019.01.07,美·中 '무역 담판' 돌입,월,0
93,2019.01.07,이번엔 중국 내부서 터져나온 '성장률 미스터리',월,0
92,2019.01.07,무역전쟁發 중국 '고용 한파'…3개월 된 신입까지 무더기 해고,월,0
91,2019.01.07,[글로벌 톡톡] 크리스토퍼 나세타 힐튼월드와이드 CEO,월,0
89,2019.01.07,[미국경제학회] 노동경제학 석학 데이비드 오터 MIT 교수 “프런티어잡 늘리려면 교육과 R&amp;D 투자 늘려야”,월,0
88,2019.01.07,국중호 교수와 함께 하는 일본경제 여행 … 요코하마 가마쿠라 역사유적 탐방,월,0
87,2019.01.07,"""'노 딜'은 안된다""…英 의원 200여명 메이 총리에 서한",월,0
86,2019.01.07,"北美 2차정상회담, 비행거리내 아시아국가 유력시…베트남 부상",월,0
85,2019.01.07,'함정 나포' 러-우크라 긴장 속 美해군 상륙함 흑해 진입,월,0
84,2019.01.07,"테슬라, 中공장 착공…세계최대 車시장 직접 공략",월,0
90,2019.01.07,"""머지않아 2차 미·북 정상회담"" 되풀이…트럼프식 대북 압박?",월,0
120,2019.01.09,"美기업 ""IT 인력 직접 키운다""",수,0
125,2019.01.09,"생일에 중국 간 김정은, 북경반점 파격 오찬·제약사 방문 눈길",수,0
124,2019.01.09,"미중, 무역전쟁 파국은 일단 피해…美측 ""협상 잘 돼""",수,0
123,2019.01.09,"김도현 대사 ""북미 정상회담 베트남서 열린다면 의미 있는 일""",수,0
122,2019.01.09,"김정은, 귀국 전 '中경제 배우기'…베이징 제약사 동인당 전격 방문",수,0
121,2019.01.09,"팀 쿡, 1200만弗 보너스…애플 위기에도 22% 늘어",수,0
119,2019.01.09,"日, 공무원 정년 65세로 연장",수,0
112,2019.01.09,"美언론 ""오류투성이 트럼프 '장벽연설'…팩트 틀리고 통계 과장""",수,0
117,2019.01.09,암 사망자 감소…'금연'이 1등 공신,수,0
116,2019.01.09,"[글로벌 톡톡] 톰 엔더스, 에어버스 CEO",수,0
115,2019.01.09,트럼프 '장벽 예산 담화' 듣는 난민들,수,0
114,2019.01.09,"美·中, 치열한 '물밑 신경전'",수,0
113,2019.01.09,"北中, 김정은-시진핑 회동 결과에 '침묵'",수,0
118,2019.01.09,김용 총재 새 직장…사모펀드에 내달 합류,수,0
176,2019.01.13,"美, '인도적 지원' 대북제재 완화…국제단체에 전달",일,0
181,2019.01.13,"아베 '징용 여론전' 먹혔나…日국민 80.9% ""강경대응 지지""",일,0
180,2019.01.13,"트럼프 ""국가비상사태 일단은 보류""…셧다운 '23일째' 신기록",일,0
179,2019.01.13,"대혼란 종지부냐, 노딜 파국이냐…英 '브렉시트 드라마' 결말 낸다",일,0
178,2019.01.13,브렉시트 정국서 '캐스팅 보트' 쥔 보수당 내 초당파 의원들,일,0
177,2019.01.13,"'미국 자동차 상징' 캐딜락, 전기차 브랜드 된다",일,0
175,2019.01.13,세계은행 차기 총재가 이방카?,일,0
170,2019.01.13,"파리 중심가 빵집 폭발사고 ""강력한 굉음…전쟁터 같았다""",일,0
173,2019.01.13,"美 셧다운 여파에 경제지표도 발표 못해…월가 ""뭘 보고 투자하나""",일,0
172,2019.01.13,트럼프 최후의 카드 '비상사태 선언'…미국인 67%가 반대,일,0
171,2019.01.13,"[글로벌 톡톡] 레이미 스타타, 알티스케일 창업자",일,0
169,2019.01.13,"日방위상 ""한국 정부에 '레이더 조사' 관련 유감 재차 전할 것""",일,0
168,2019.01.13,"사우디 석유장관 ""유가 변동성 60∼86달러로 좁혀야""",일,0
