,date,sen,요일,라벨
0,2019.01.01,"""美 상·하원 외교위원장, 하원 군사위원장 교체""",화,0
13,2019.01.01,"美 ""김정은, 화해의 올리브 가지와 날카로운 가시 함께 내밀었다""",화,0
12,2019.01.01,2018 최고 투자는 '예술품·와인',화,0
11,2019.01.01,"日 게이단렌 회장 ""原電 건설 논의하자""",화,0
9,2019.01.01,"아베 ""일본의 내일 여는 선두에 설 것""",화,0
8,2019.01.01,"시진핑 ""어떤 어려움 만나도 자력갱생""",화,0
7,2019.01.01,"트럼프 ""모든 일 승리할 것…4년 더 있다""",화,0
10,2019.01.01,"마크롱 ""노란조끼로 개혁 멈출 수 없어""",화,0
5,2019.01.01,"뉴욕 타임스스퀘어 ""HAPPY NEW YEAR""",화,0
4,2019.01.01,"쓰나미 이어 산사태까지…""인니, 30가구 파묻혀 15명 사망""",화,0
3,2019.01.01,"日이시바 전 간사장 ""아베 추진 개헌, 국민적 논의 이르지 못해""",화,0
2,2019.01.01,"마크롱 ""개혁 중단 없다""…노란 조끼 정면돌파 선언",화,0
1,2019.01.01,러시아 우랄 아파트 붕괴 현장서 11개월 남자아이 기적적 구조,화,0
6,2019.01.01,[글로벌 톡톡] 리사 수 AMD CEO,화,0
22,2019.01.02,[글로벌 톡톡] 시안 왕 패스트스프링 CFO,수,0
27,2019.01.02,"중국 화웨이, 아이폰으로 새해 인사 올렸다가 망신",수,0
26,2019.01.02,마크롱 '변심'에 노란조끼 시위대 격분…주말 재집결 요구,수,0
25,2019.01.02,"美 기업들 ""AI 수출 왜 막나"" 집단 반발",수,0
24,2019.01.02,"中, 김정은 신년사에 ""한반도 비핵화 적극적 진전 기대""",수,0
23,2019.01.02,"""옴진리교 사형에 보복"" 日 도쿄 번화가 무차별 차량 테러 발생",수,0
21,2019.01.02,"시진핑 ""대만과 통일에 무력 사용 열려있다""",수,0
16,2019.01.02,도쿄에서 이사해 시즈오카현 중소기업에 취직하면 최대 1000만원 지원,수,0
19,2019.01.02,빌 게이츠의 '原電 꿈'…美·中 싸움에 깨질 판,수,0
18,2019.01.02,"日, 7일부터 '출국세 1000엔' 뗀다",수,0
17,2019.01.02,"'브라질의 트럼프' 보우소나루 ""작은 정부로 저성장 탈출할 것""",수,0
15,2019.01.02,"필리핀 들끓게 했던 한국산 쓰레기, 다음주 한국 돌아간다",수,0
14,2019.01.02,올해 EU 정치지형도 대변화?…오는 5월 유럽의회 선거 주목,수,0
20,2019.01.02,[사진이 있는 아침] 파리 개선문을 비춘 '화합'의 빛,수,0
36,2019.01.03,"중국 달 탐사선, 인류 최초로 달 뒷면 착륙…NASA ""매우 인상적""",목,1
41,2019.01.03,"中, 달의 뒷면 착륙에 '들썩'…""역사 창조""",목,1
40,2019.01.03,"벼랑 끝에 선 SNS 제왕 ""모든 서비스 DNA 바꾼다""",목,1
39,2019.01.03,"""中 공유자전거 '오포' 보증금 반환, 1000만명 중 24만명 꼴""",목,1
37,2019.01.03,"트럼프, 매티스 前 국방 맹비난 ""잘한 일이 없어 해고""",목,1
35,2019.01.03,"중국, 달 탐사 후발국에서 신기록 보유국으로",목,1
38,2019.01.03,[column of the week] '시장주의' 밀어붙인 미국…'관료주의' 유럽에 승리하다,목,1
33,2019.01.03,"""전기차 대량 보급은 시기상조?""…테슬라 주가 연초부터 7% 폭락",목,1
32,2019.01.03,"월가 투자자들 ""Fed, 금리 못 올린다""에 베팅",목,1
31,2019.01.03,中 '우주 굴기'…달 뒷면에 착륙,목,1
34,2019.01.03,"중국 ""김정은이 트럼프에 친서 전달, 좋은 상황""",목,1
30,2019.01.03,김정은 보란 듯 “제재가 오고있다” 포스터,목,1
29,2019.01.03,스마트폰 판매 18% 급감…IT기업 무더기 감원,목,1
28,2019.01.03,"[글로벌 톡톡] 세스 고딘, 스퀴두 설립자",목,1
78,2019.01.06,참치 한 마리 35억원 낙찰,일,1
83,2019.01.06,美국방부 고위관리 줄사퇴…장관·수석대변인 이어 비서실장,일,1
82,2019.01.06,무역전쟁 후폭풍…美 CES 참가 중국기업 20% 줄어,일,1
81,2019.01.06,美 CES 참가 中기업 전년比 20%↓ '무역전쟁 영향',일,1
80,2019.01.06,"""新산업 막는 규제 없애고…강남스타일 같은 창의 키워라""",일,1
79,2019.01.06,"""미국 6개州, 최저임금 10% 넘게 올렸더니 신규 고용 줄었다""",일,1
77,2019.01.06,[글로벌 톡톡] 케빈 존슨 스타벅스 CEO,일,1
73,2019.01.06,무인택시 시대보다 '무인배달' 먼저 온다,일,1
75,2019.01.06,다시 쏟아져 나온 '노란 조끼',일,1
74,2019.01.06,신장위구르 집집마다 '中 감시원' 상주,일,1
76,2019.01.06,"日 기업 ""시니어 직원 연봉 30% 더 줍니다""",일,1
72,2019.01.06,"차이잉원 대만 총통 ""국제사회가 대만 지켜달라"" 읍소",일,1
71,2019.01.06,"메이 ""브렉시트 투표 14∼15일…부결시 英 앞날 예측 어려워""",일,1
70,2019.01.06,"트럼프 ""2차 북미정상회담 장소 협상중…머지않아 발표될 것""",일,1
97,2019.01.07,"""세계 경기둔화·무역전쟁…모두가 '발등의 불'인데 한국은 준비됐나""",월,0
96,2019.01.07,"정치적 위기 마크롱 ""3개월간 국민 토론하자""",월,0
95,2019.01.07,"일본, 해외 M&amp;A 6년 만에 中 따돌렸다",월,0
94,2019.01.07,美·中 '무역 담판' 돌입,월,0
93,2019.01.07,이번엔 중국 내부서 터져나온 '성장률 미스터리',월,0
92,2019.01.07,무역전쟁發 중국 '고용 한파'…3개월 된 신입까지 무더기 해고,월,0
91,2019.01.07,[글로벌 톡톡] 크리스토퍼 나세타 힐튼월드와이드 CEO,월,0
89,2019.01.07,[미국경제학회] 노동경제학 석학 데이비드 오터 MIT 교수 “프런티어잡 늘리려면 교육과 R&amp;D 투자 늘려야”,월,0
88,2019.01.07,국중호 교수와 함께 하는 일본경제 여행 … 요코하마 가마쿠라 역사유적 탐방,월,0
87,2019.01.07,"""'노 딜'은 안된다""…英 의원 200여명 메이 총리에 서한",월,0
86,2019.01.07,"北美 2차정상회담, 비행거리내 아시아국가 유력시…베트남 부상",월,0
85,2019.01.07,'함정 나포' 러-우크라 긴장 속 美해군 상륙함 흑해 진입,월,0
84,2019.01.07,"테슬라, 中공장 착공…세계최대 車시장 직접 공략",월,0
90,2019.01.07,"""머지않아 2차 미·북 정상회담"" 되풀이…트럼프식 대북 압박?",월,0
