date,kospi_close,kospi_dividend_yield_ratio,kospi_per,kospi_pbr,kospi_open,kospi_high,kospi_low,kospi_volume,kospi_value,kospi_stock_value,kospi_label
20180102,2479.65,1.35,13.06,1.12,2474.86,2481.02,2465.94,262205,4786387,1613508197,
20180103,2486.35,1.35,13.09,1.12,2484.63,2493.4,2481.91,331095,6019622,1617634318,1
20180104,2466.46,1.36,12.99,1.11,2502.5,2502.5,2466.45,333836,6896287,1604916140,2
20180105,2497.52,1.34,13.15,1.12,2476.85,2497.52,2475.51,308770,6317518,1624970533,1
20180108,2513.28,1.34,13.23,1.13,2510.7,2515.37,2494.18,311429,6404886,1634777681,1
20180109,2510.23,1.34,13.21,1.13,2510.73,2524.73,2498.41,374323,7345519,1632067011,2
20180110,2499.75,1.34,13.15,1.12,2516.33,2516.82,2493.98,444022,8577963,1624057752,2
20180111,2487.91,1.35,13.09,1.12,2496.86,2502.52,2483.82,444340,7789311,1616665408,2
20180112,2496.42,1.35,13.13,1.12,2499.87,2500.87,2482.15,438776,8772175,1621717049,1
20180115,2503.73,1.34,13.16,1.12,2510.97,2513.3,2496.18,404551,6118635,1626574288,1
20180116,2521.74,1.33,13.26,1.13,2504.16,2524.55,2498.55,341607,6913693,1639188170,1
20180117,2515.43,1.34,13.23,1.13,2517.19,2521.97,2506.49,336713,6325747,1634771859,2
20180118,2515.81,1.34,13.23,1.13,2527.67,2532.08,2512.69,333112,6447656,1635724489,1
20180119,2520.26,1.33,13.25,1.13,2519.67,2524.33,2513.09,351845,6263001,1637786603,1
20180122,2502.11,1.34,13.16,1.12,2516.9,2517.12,2488.44,342994,6385331,1626287541,2
20180123,2536.6,1.32,13.34,1.14,2510.35,2536.6,2507.96,370008,6838404,1648667380,1
20180124,2538,1.32,13.34,1.14,2533.86,2547.22,2531.31,371087,6764738,1649315305,1
20180125,2562.23,1.31,13.47,1.15,2536.96,2564.43,2536.73,514605,7867501,1665284071,1
20180126,2574.76,1.3,13.53,1.16,2560.69,2574.76,2553.53,400649,7673559,1673359184,1
20180129,2598.19,1.29,13.66,1.17,2588.87,2607.1,2587.55,437475,7908139,1688814426,1
