date,kospi_close,kospi_dividend_yield_ratio,kospi_per,kospi_pbr,kospi_open,kospi_high,kospi_low,kospi_volume,kospi_value,kospi_stock_value,ma_5,ma_10,ma_15,ma_20,ma_30,ma_60,ma_120,ema_5,ema_10,ema_15,ema_20,ema_30,ema_60,ema_120,wma_5,wma_10,wma_15,wma_20,wma_30,wma_60,wma_120,ma_v5,ma_v10,ma_v20,ma_v60,ma_v120,ubb,mbb,lbb,macd,macdsignal9,macdhist,rsi,slowk,slowd,fastk,fastd,fastk_rsi,fastd_rsi,cci,willR,sar,adx,plus_di,plus_dm,atr,obv,var,exchange_rate_usd_close,exchange_rate_eur_close,exchange_rate_jpy_close,exchange_rate_won_usd,exchange_rate_won_cny,exchange_rate_won_jpy,exchange_rate_won_eur,exchange_rate_won_uk,exchange_rate_won_cad,exchange_rate_won_sws,exchange_rate_won_aus,exchange_rate_won_new,exchange_rate_won_hkd,exchange_rate_won_taiw,exchange_rate_won_mong,exchange_rate_won_kaz,exchange_rate_won_thail,exchange_rate_won_sgd,exchange_rate_won_indone,exchange_rate_won_malay,exchange_rate_won_php,exchange_rate_won_viet,exchange_rate_won_brunei,exchange_rate_won_india,exchange_rate_won_paki,exchange_rate_won_bangla,exchange_rate_won_mex,exchange_rate_won_brazil,exchange_rate_won_argen,exchange_rate_won_swd,exchange_rate_won_denmark,exchange_rate_won_norway,exchange_rate_won_russia,exchange_rate_won_hungary,exchange_rate_won_poland,exchange_rate_won_czech,exchange_rate_won_saudi,exchange_rate_won_qatar,exchange_rate_won_israel,exchange_rate_won_jordan,exchange_rate_won_kuwait,exchange_rate_won_bahrain,exchange_rate_won_arabemi,exchange_rate_won_turkey,exchange_rate_won_southafrica,exchange_rate_won_egypt,krx_gold_close,krx_gold_volume,krx_gold_value,world_gold_won_close,world_gold_oz_close,base_rate,call_rate,koribor_3m,CD_91d,korea_treasury_bond_1y,tongan_91d,corporate_bond_3y_aa_,krx_diesel_wa_compt,krx_diesel_volume,krx_diesel_value,krx_diesel_wa_agree,krx_gasoline_wa_compt,krx_gasoline_volume,krx_gasoline_value,krx_gasoline_wa_agree,krx_kerosene_wa_compt,krx_kerosene_volume,krx_kerosene_value,krx_kerosene_wa_agree,koc_close,vix_close,vkospi_close,treasury_13w_close,treasury yield_5y_close_x,treasury yield_5y_close_y,treasury yield_5y_close,snp500_close,snp500_volume,dow_jones_close,dow_jones_volume,nasdaq_close,nasdaq_volume,nyse_close,nyse_volume,amex_close,russell_close,russell_volume,dax_close,dax_volume,nikkei_close,nikkei_volume,hangseng_close,hangseng_volume,sse_close,sse_volume,estx_close,Volume,euronext_close,euronext_volume
20180629,1.330323803,-1.446646622,-0.690024471,1.928022435,1.328682,1.303668233,1.203247576,-0.675913531,-0.282188993,1.273992707,1.451618329,1.544369154,1.813651705,1.978361311,2.2016607,2.496958619,2.555212344,1.440941021,1.620015656,1.789608811,1.937103065,2.171224191,2.543075222,2.596542422,1.398281249,1.485954486,1.615493052,1.759446445,1.972874529,2.383477303,2.638607104,-0.515529065,-0.349602682,-0.201226713,-0.018909758,-0.356222943,2.333340132,1.978361311,1.442298207,-0.931108019,-0.769483749,-0.70774362,-1.209983417,-0.909816622,-0.619674481,-0.379180572,-0.909816622,-0.124371884,-0.664783468,-1.000735906,-1.302160609,0.998880805,0.859718439,-1.659442807,-1.227909651,-0.145824086,-0.763294845,-0.276042662,-1.571470027,1.419559418,0.715437244,-1.301703613,0.223115456,-1.120661956,-0.619562042,-0.758133934,-1.456756971,-1.218578545,0.50967187,-0.373705708,-1.304255599,-1.047430527,1.887757159,2.316256775,-1.726001527,-1.551063853,-0.970889145,-0.49962346,-1.443075506,-0.913611006,-1.366829117,0.002632826,2.318632742,-1.178969665,-0.432587996,0.48509607,2.283100822,-0.285117686,-0.564015657,1.083170386,0.356398355,-0.230613651,-1.012896268,-0.702736182,-1.305639027,-1.30891349,-1.322772471,-1.347923683,-1.251780391,-1.371158171,-1.301721401,2.699429124,0.72104333,-1.37324754,-1.078448177,-0.491183849,-0.516364441,-1.087044267,-0.973863614,0.465123415,0.610143246,0.597127485,0.486833542,1.1471269,0.573611292,2.294608176,0.706962428,0.211250686,0.355268765,0.785984757,0.920819656,0.675209088,0.84848048,0.995966485,0.469278117,-1.003311468,-0.952530542,0.61225947,-0.949595077,-0.419477022,-0.366568331,0.415970994,1.126355712,1.104454644,0.913039481,-1.00137854,-0.442705618,-1.080526957,-0.103511538,-0.794617985,-0.54683801,-0.124376408,-0.428250473,1.269348701,0.856522312,-0.084239051,0.241800105,0.550370681,0.334522641,-0.255465191,1.328949509,0.880493148,-0.322971008,-0.942324982,0.195506433,-1.181916424,0.230208275,0.000707608
20180705,0.869677402,-1.183762535,-0.747915038,1.547972739,0.918384635,0.925235673,0.857017141,-0.871231457,-0.589372153,0.833132486,1.043171348,1.298437578,1.455362507,1.721720462,2.006061281,2.406964394,2.493418037,1.046554783,1.273060864,1.473030909,1.645673122,1.920663669,2.369099264,2.491843657,0.971522137,1.15149655,1.285416237,1.43740145,1.701677486,2.204688098,2.531350438,-0.859091393,-0.63046589,-0.418297033,-0.071373304,-0.349300138,2.279950719,1.721720462,1.079102411,-1.283856077,-1.068163241,-0.953515333,-1.805224288,-1.442253523,-1.525368064,-1.314019055,-1.442253523,-1.407769908,-1.635208641,-1.400715178,-1.547030495,0.998880805,1.859483955,-1.980148595,-1.421414973,-0.022255973,-0.829709626,0.014083718,-1.380224176,1.514114811,0.629684129,-1.475706075,-0.186656371,-1.22262651,-0.534950005,-0.525360758,-1.332898799,-1.229952166,0.463284604,-0.586478192,-1.443448827,-1.114390365,1.083345863,1.967207713,-1.828350495,-1.686049298,-1.030027585,-0.826022255,-1.550854077,-1.237828313,-1.524944192,-0.104355637,2.232707619,-1.387290424,-0.27029003,0.308081737,2.246229891,0.403232155,-0.468393799,1.176773039,0.120001389,0.275694316,-1.104196382,-0.758142661,-1.480805488,-1.49022608,-1.393638651,-1.477787951,-1.482527339,-1.664768004,-1.475476974,2.388376715,0.763520657,-1.439392487,-1.051396813,-0.757490106,-0.678507836,-1.051481837,-0.951324118,0.465123415,0.36529918,0.597127485,0.486833542,1.096473604,0.563884272,2.204957808,1.067709416,-1.166560202,-1.084658455,0.989268217,1.240168975,-1.107764402,-1.02385205,1.131166678,0.675172723,-0.965197751,-0.90882708,0.708636364,-0.981025584,-0.520011742,-0.22362395,0.450007477,1.137066069,1.094037166,0.869915304,-0.922535582,-0.943429593,-1.029245149,-0.686105904,-0.728782188,-0.988631939,-0.027965478,-0.923179449,1.271953743,1.123551903,-0.126050416,0.409711663,0.558274096,-0.240384387,-0.302584209,0.879550856,0.074336849,-0.854950187,-0.909892564,0.370350045,-1.181916424,0.296316123,-0.219736446
20180706,0.972580622,-1.271390564,-0.735251476,1.547972739,0.896166366,0.98741068,0.879773761,-0.880848449,-0.269117495,0.92532841,0.97011289,1.23929986,1.39242571,1.648836349,1.955314248,2.385752417,2.477053542,1.034024409,1.231340292,1.423328184,1.594128806,1.871124243,2.330892151,2.467613062,0.958263681,1.102569708,1.23553605,1.376666849,1.644666476,2.163436619,2.506100558,-0.90332067,-0.71454943,-0.448284369,-0.080839946,-0.35081994,2.16139874,1.648836349,1.048987522,-1.280954592,-1.126831642,-0.760710173,-1.454763448,-1.256959933,-1.519451684,-0.728321056,-1.256959933,0.984969085,-0.709113824,-1.056964156,-1.140971974,0.998880805,2.025760365,-1.804588924,-1.282996249,0.014101402,-0.796519533,-0.468099762,-1.460935944,1.706862343,0.571010944,-1.391423632,-0.110555889,-1.19732996,-0.333414539,-0.44098383,-1.203453042,-1.192820639,0.583118374,-0.236127689,-1.380525861,-1.053517785,1.083345863,1.967207713,-1.806803344,-1.564159456,-1.030027585,-0.651229458,-1.467947484,-1.172984851,-1.399791217,-0.104355637,2.284262693,-1.283130045,-0.049229006,0.287644328,2.263927938,0.533063264,-0.283126447,1.397014578,0.238199872,0.68074069,-0.553450529,-0.37029731,-1.396313431,-1.402159965,-1.282946849,-1.394331061,-1.378864149,-1.580864809,-1.391594973,2.654669306,0.962391776,-1.406320014,-1.079450079,-0.76717072,-0.684383717,-1.064690739,-0.953975823,0.465123415,0.298523525,0.597127485,0.486833542,1.101297728,0.563884272,2.231105832,0.960397554,-0.197200318,-0.042151366,0.995718966,1.165335075,0.410879116,0.599279193,1.1373265,0.757530565,-0.942253953,-0.883630186,0.71260752,-0.981025584,-0.663632772,-0.340178599,0.44433473,1.117787427,1.083619688,0.852665634,-0.82220976,-1.269480893,-0.969303092,-0.802242331,-0.640609555,-1.028612619,0.066909211,-1.245457278,1.364228399,1.230408149,-0.153276295,0.443529333,-1.611097795,-0.057367247,-0.110181552,0.957178761,0.293333051,-0.792412379,-0.844101089,0.399555323,-1.181916424,0.341175289,-0.472460708
20180709,1.059430403,-1.315204579,-0.724396995,1.674655971,1.000390246,1.06235192,1.011036586,-0.848650556,-0.420137313,1.008352446,0.989673792,1.18876463,1.349031612,1.587722958,1.909368093,2.364327927,2.462303021,1.055485349,1.214016584,1.391774944,1.556862209,1.831456256,2.29762326,2.445616625,0.998745498,1.080651677,1.20485195,1.331633408,1.597097804,2.126318169,2.48299438,-0.937724325,-0.741776693,-0.489323748,-0.079270673,-0.355466448,2.047804416,1.587722958,1.033758224,-1.233988704,-1.163716146,-0.488742896,-1.173620479,-0.454483946,-1.099981124,0.776664648,-0.454483946,0.984969085,0.262638322,-0.679095911,-0.804369339,0.998880805,2.110401337,-1.572805381,-1.117818556,-0.004200891,-0.762538696,-0.422619428,-1.560526058,1.706862343,0.701897279,-1.407736363,-0.286172386,-1.170671289,-0.179798511,-0.249461597,-1.112654758,-1.128760393,0.782411813,-0.041179078,-1.399593426,-1.016994237,1.083345863,1.967207713,-1.785256193,-1.372258505,-1.000458365,-0.642311458,-1.451366165,-1.172984851,-1.183992467,-0.082957945,2.267077668,-1.30917014,0.07669183,0.4511436,2.290475008,0.680041877,-0.135709415,1.494287924,0.291926455,0.883263877,-0.387048707,-0.164501818,-1.412799686,-1.439458554,-1.224379758,-1.410373118,-1.39121677,-1.40063212,-1.407572497,2.697162805,1.045415642,-1.409994733,-1.059412032,-0.761541071,-0.681338676,-1.061642531,-0.931878279,0.465123415,0.432074834,0.597127485,0.486833542,1.103709789,0.563884272,2.253518424,1.075670729,-0.919831279,-0.818828403,1.005989237,1.176884493,-0.638460716,-0.520904132,1.168283554,0.724587428,-0.907364088,-0.842543589,0.784037409,-0.981025584,-0.724671709,-0.501815706,0.455680224,1.148847461,1.117187117,0.888602448,-0.716956714,-0.864403212,-0.776923226,-0.667557222,-0.581968974,-0.897402847,0.200331762,-0.845067659,1.346895712,1.30778085,-0.119451569,0.494149664,-0.194845571,0.143020866,-0.518546375,1.173954855,0.071658425,-0.474351422,-0.981243883,0.445658163,-1.181916424,0.407284666,-0.663320694
20180710,1.115583858,-1.315204579,-0.717160674,1.674655971,1.149656616,1.139846406,1.175148097,-0.898560037,-0.623703511,1.069625903,1.019028861,1.14897024,1.3269843,1.522845738,1.866881731,2.343133547,2.448945164,1.089069472,1.210712132,1.371883596,1.529202248,1.798663495,2.267828062,2.425169329,1.051779321,1.078414111,1.186911709,1.29805747,1.556462963,2.092124408,2.461346706,-0.959833883,-0.798897216,-0.509674097,-0.080689773,-0.360775893,1.869576947,1.522845738,1.058303358,-1.163522253,-1.178144653,-0.208384601,-0.995729249,0.328422904,-0.469946413,0.730156712,0.328422904,0.984969085,1.234390468,-0.338537033,-0.565647344,0.998880805,2.119799389,-1.319581162,-0.957110066,-0.063352854,-0.729783578,-0.345294386,-1.483097481,1.561392507,0.94561666,-1.557269729,-0.338857335,-1.346190425,-0.347653458,-0.571968966,-1.359439836,-1.259557032,0.762224762,-0.201036939,-1.534973141,-1.041343269,1.083345863,1.792683183,-1.844510859,-1.53796825,-1.059596806,-0.731491456,-1.592307374,-1.302671774,-1.376099708,-0.189946407,2.19833757,-1.491450804,-0.09959734,0.38027194,2.262453101,0.540412194,-0.303047668,1.384167155,0.313417088,0.579479097,-0.152908091,-0.275314775,-1.563236764,-1.576220051,-1.353227359,-1.558571165,-1.574529656,-1.754730303,-1.557361784,2.201971901,1.039623279,-1.487163839,-1.052398715,-0.766321805,-0.6841217,-1.060626462,-0.949556314,0.465123415,0.432074834,0.597127485,0.486833542,1.091649481,0.561452517,2.216164104,1.008497152,-0.618936805,-0.501259035,0.95132763,1.168973932,-0.851853935,-0.750453177,1.17539104,0.724587428,-1.009396352,-0.954764043,0.806947923,-0.981025584,-0.729159866,-0.602976345,0.478371212,1.170268173,1.132234585,0.895789811,-0.675157103,-0.853107887,-0.690940586,-0.702869834,-0.579374643,-1.008221978,0.245250191,-0.833903058,1.313098689,1.241922064,-0.118508389,0.564118941,-0.059725599,0.25284686,0.639796153,1.170321387,-0.260367979,-0.415712145,-1.022016065,0.495311002,-1.181916424,0.483830279,-0.622848784
20180711,1.024636756,-1.271390564,-0.728015156,1.674655971,1.002410088,1.0103899,0.98148596,-0.572618171,-0.445775926,0.980180211,1.039824321,1.105915738,1.28702085,1.453463719,1.816313169,2.320988952,2.434067097,1.080237802,1.190404075,1.341978886,1.494365842,1.760996126,2.235150354,2.403139847,1.064203711,1.066235179,1.159692847,1.261219217,1.511974224,2.055023952,2.437984212,-0.86847413,-0.844087469,-0.553639295,-0.074848208,-0.361578607,1.657517318,1.453463719,1.099708953,-1.125704606,-1.181594871,-0.071323022,-1.162189056,0.624569656,0.199531608,0.044920378,0.624569656,0.492940288,1.034565063,-0.666808475,-0.830263949,0.998880805,2.185568578,-1.427451075,-1.030332001,-0.052913327,-0.770543449,-0.364428854,-1.287747642,1.572302745,0.950129982,-1.516487902,-0.054943998,-1.32517483,-0.341903125,-0.47714537,-1.378530757,-1.251361335,0.650122203,-0.248938597,-1.498744766,-0.992645206,1.083345863,1.967207713,-1.876831586,-1.52940574,-1.059596806,-0.604855859,-1.559144737,-1.302671774,-1.273608177,-0.189946407,2.215522595,-1.439370614,0.085086553,0.532233965,2.37454073,0.511016472,-0.29507918,1.426380116,0.560559371,0.68074069,-0.20003073,-0.235738719,-1.523051517,-1.533741101,-1.333314548,-1.537181756,-1.521956904,-1.717348708,-1.516419379,2.279026779,1.14195502,-1.463278163,-1.055404422,-0.830124501,-0.723163941,-1.060626462,-0.969002154,0.465123415,0.409816283,0.597127485,0.486833542,1.057880617,0.551725497,2.077953121,1.207695834,-0.632187503,-0.494651266,1.080682116,1.221262736,-0.256243245,-0.100279891,1.240543002,0.848124192,-1.017320862,-0.963051836,0.797732805,-0.981025584,-0.640294354,-0.499616562,0.461352971,1.135995033,1.096352161,0.858415524,-0.76083,-0.934170862,-0.822682344,-0.68801814,-0.616205784,-0.972432103,0.086808217,-0.914027871,1.203590822,1.154208235,-0.125277295,0.359684915,-0.012403663,0.051972551,0.019395748,0.954894217,0.061055888,-0.649306054,-0.932131936,0.298707775,-1.181916424,0.330613148,-0.396650977
20180712,1.054459882,-1.315204579,-0.724396995,1.674655971,1.061052852,1.089609553,1.080163942,-0.802472516,-0.323046695,1.003658032,1.077560674,1.085457664,1.261701228,1.402436361,1.772411785,2.299649739,2.418991161,1.084587956,1.179561184,1.319911159,1.466064295,1.72805114,2.20480961,2.382104141,1.079836748,1.06743234,1.141323954,1.233912595,1.472819101,2.019829323,2.415518762,-0.853634501,-0.865873727,-0.592718033,-0.081496208,-0.363619739,1.517670398,1.402436361,1.118779095,-1.07263552,-1.172998806,0.079072227,-1.061760663,0.406617841,0.505925259,0.207590792,0.406617841,0.640776998,0.894779904,-0.39615501,-0.711514104,0.998880805,2.18063263,-1.172529727,-0.870920386,-0.104036101,-0.735428533,-0.456341794,-1.230839006,1.437743147,1.464648676,-1.326172709,-0.253976028,-1.385886548,-0.313425287,-0.401072204,-1.339417651,-1.201685373,0.553482065,-0.407682466,-1.329043434,-1.120477623,1.887757159,2.054469979,-1.833737283,-1.458890955,-0.970889145,-0.49070546,-1.501110121,-1.10814139,-1.286483998,0.045428211,2.318632742,-1.20500976,0.118665442,0.440924896,2.415836173,0.437527165,-0.259220983,1.314424001,0.496087471,0.478217503,-0.422390687,-0.354466887,-1.331398801,-1.333779217,-1.298174293,-1.329780881,-1.299313274,-1.51041488,-1.326686282,1.818963834,0.977838077,-1.386109057,-1.058410129,-0.787991488,-0.697365098,-1.068755017,-1.008335783,0.465123415,0.476591937,0.597127485,0.486833542,1.166423393,0.576043047,2.212428672,1.140273466,-0.80956014,-0.688305413,1.078814794,1.27030821,-0.570912014,-0.438725793,1.215429882,0.771284325,-0.971452784,-0.912983905,0.790757827,-0.981025584,-0.734545655,-0.578785757,0.470429366,1.152060568,1.109084634,0.865602887,-0.655922043,-1.051172764,-0.687797169,-0.714916917,-0.523406509,-0.809652914,0.181921314,-1.029675682,1.235284244,1.202758988,-0.135047168,0.440134622,-0.240512908,0.246069818,-0.39289566,1.053224941,0.029070957,-0.368697539,-0.744950555,0.387981341,-1.181916424,0.443195658,-0.627846824
20180713,1.228025105,-1.402832608,-0.702688033,1.801339203,1.109125107,1.194775713,1.181348451,-1.088294536,-0.23086286,1.168127099,1.12972765,1.074779923,1.239476387,1.36810109,1.747392662,2.280135153,2.404455055,1.147070987,1.204286336,1.324456722,1.459181117,1.710572005,2.182829004,2.365080601,1.141817409,1.104984257,1.148955862,1.229151424,1.448905021,1.992205034,2.397031016,-0.898405742,-0.911702355,-0.641450634,-0.090484417,-0.366164303,1.399209756,1.36810109,1.148818202,-0.959111626,-1.141829009,0.360900434,-0.517934923,0.564780266,0.590024951,1.143120014,0.564780266,0.984969085,0.894779904,0.154045765,0.021417834,0.998880805,2.093465574,-0.855387272,-0.648414755,-0.105952375,-0.707333074,-0.398646652,-1.03111158,1.375918467,1.460135354,-1.135857516,-0.195437196,-1.378297584,-0.128319343,-0.252943819,-0.979483943,-1.216236918,0.954216502,-0.069028879,-1.159342102,-0.852638273,1.887757159,2.141732244,-1.672133649,-1.202015667,-0.823043043,-0.212463865,-1.327006275,-0.913611006,-0.996005489,0.387791292,2.404557866,-0.996689001,0.303349335,0.487733155,2.501376732,0.413030729,-0.095866974,1.450239616,0.668012537,0.782002284,0.012021149,-0.148671395,-1.137685303,-1.134853404,-1.137114793,-1.141286715,-1.070740387,-1.297524645,-1.13595459,1.986104929,1.358203227,-1.31628939,-1.064421544,-0.812505783,-0.712453861,-1.070787156,-0.999054815,0.465123415,0.409816283,0.620961398,0.486833542,1.183307825,0.576043047,2.253518424,1.104530488,0.428602814,0.654248189,1.087811891,1.214934288,0.944266673,1.185698247,1.221826621,0.732823212,-0.76263305,-0.682136957,0.789332284,-1.106747613,-0.770450912,-0.694240834,0.470429366,1.12207157,1.083619688,0.841165853,-0.642867907,-1.221044314,-0.630992663,-0.572327902,-0.521625018,-1.019163539,0.191495772,-1.197581267,1.213609828,1.179289793,-0.149231752,0.490798456,-1.611097795,0.556768633,-0.070915703,1.079158814,-0.604324684,-0.399035854,-1.016456222,0.422896376,-1.181916424,0.495636278,-0.804372078
20180716,1.168177345,-1.315204579,-0.715351594,1.674655971,1.238327707,1.222654406,1.22567439,-1.066482681,-0.642475853,1.111713407,1.151935994,1.096128394,1.212659756,1.340729458,1.716537528,2.259086959,2.389739695,1.168181299,1.212931416,1.320208606,1.446497529,1.689620608,2.159029393,2.34707488,1.16616028,1.133197812,1.151431539,1.221463426,1.422269435,1.9628503,2.377514701,-0.945418509,-0.953625738,-0.703336937,-0.094796773,-0.368177368,1.321771243,1.340729458,1.160759205,-0.879263683,-1.099806532,0.496393803,-0.651147351,0.708070667,0.619735933,0.419052709,0.708070667,0.49022244,0.893676117,0.304591652,-0.222446884,0.998880805,1.991129467,-0.824999437,-0.66365937,-0.169297082,-0.735964207,-0.393218387,-1.096775391,1.521388303,1.446595388,-1.255484209,-0.142752247,-1.426555617,-0.20581192,-0.241157835,-1.100082688,-1.275613908,0.906111189,-0.256736542,-1.264213712,-1.004819721,1.887757159,2.228994509,-1.785256193,-1.399457065,-0.911750704,-0.53529546,-1.434784847,-1.043297929,-1.242706208,0.238007444,2.353002792,-1.126889475,0.317340539,0.531245058,2.465980639,0.253803898,-0.163599124,1.343789539,0.496087471,0.883263877,0.012021149,-0.18033224,-1.259271435,-1.258145965,-1.223794088,-1.259692371,-1.248321657,-1.245662817,-1.253788829,1.961741989,1.37171874,-1.369572821,-1.058410129,-0.756030567,-0.677836461,-1.052497906,-1.004623396,0.465123415,0.432074834,0.620961398,0.486833542,1.168835455,0.576043047,2.201222376,1.054855213,-0.855413341,-0.742893239,1.087642134,1.160114105,-0.486390326,-0.353846383,1.236594399,0.732823212,-1.005595489,-0.951009212,0.786328461,-1.106747613,-0.712104869,-0.638162654,0.48177486,1.150989532,1.114872122,0.89003992,-0.655317351,-1.058910185,-0.603979006,-0.726900258,-0.539145197,-1.003299758,0.166821743,-1.037323556,1.151357946,1.116658417,-0.135693256,0.512320768,0.229383987,0.556768633,-2.921616298,1.087426093,-0.936134293,-0.479356139,-1.108193632,0.401831879,-1.181916424,0.45301301,-0.950321203
20180717,1.140839479,-1.315204579,-0.718969755,1.674655971,1.175645257,1.14143356,1.162681427,-0.745084461,-0.661568505,1.085478949,1.157093707,1.113768049,1.187229778,1.325176472,1.680578115,2.23799139,2.374717536,1.172870067,1.214712938,1.312734186,1.432072887,1.667919702,2.134849996,2.328789593,1.173849182,1.152416859,1.153602553,1.213529403,1.395616474,1.933102434,2.357668903,-0.912295242,-0.9479545,-0.755877542,-0.096146602,-0.365842394,1.293800286,1.325176472,1.156220804,-0.815602757,-1.052565767,0.561543011,-0.712679729,0.700330593,0.724243581,0.1873814,0.700330593,0.261693183,0.73972054,0.218493693,0.043830284,0.998880805,1.922044898,-0.904459887,-0.757842069,-0.240902479,-0.772488507,-0.391762363,-1.154231226,1.430469655,1.663234838,-1.11138842,-0.11348283,-1.31836422,0.053226872,-0.03222449,-0.845847495,-1.089956275,1.053004198,0.02788843,-1.136461024,-0.883074562,1.887757159,2.40351904,-1.677520437,-1.096747167,-0.793473822,-0.191060665,-1.335296934,-0.848767545,-1.041843409,0.387791292,2.009302299,-1.25708995,0.448857857,0.553330646,2.474829662,0.631049006,0.093384621,1.507135347,0.657267221,1.187048658,0.447905567,0.152106632,-1.113986311,-1.111023749,-1.042236105,-1.117032653,-1.090010475,-1.233647304,-1.111988304,2.038230287,1.508804658,-1.307102592,-1.07143486,-0.635603723,-0.604580282,-1.08094785,-1.014081145,0.465123415,0.387557731,0.620961398,0.486833542,1.149538962,0.576043047,2.219899536,1.090764051,-1.02625919,-0.928038609,1.086029447,1.234156949,-0.809650819,-0.699826097,1.247334601,0.732823212,-1.04748855,-0.997312052,0.791317862,-1.106747613,-0.78122249,-0.612872494,0.523753189,1.160628853,1.121817107,0.895789811,-0.607250278,-0.863838855,-0.570605742,-0.604644679,-0.496425296,-0.992931468,0.203070484,-0.844509834,1.137264644,1.180610301,-0.119404444,0.618951327,0.132132177,0.632669408,0.054735012,0.879312413,-0.208161205,-0.553931576,-1.130433004,0.434315888,-1.181916424,0.476623506,-0.733010235
