date,kospi_close,kospi_dividend_yield_ratio,kospi_per,kospi_pbr,kospi_open,kospi_high,kospi_low,kospi_volume,kospi_value,kospi_stock_value,kospi_label
20180103,1.632234602,-1.788910267,-0.25069151,1.660345009,1.611713789,1.621215114,1.65735151,-0.874471684,-0.367658783,1.3109857,1
20180104,1.524382715,-1.756145984,-0.270785517,1.569780735,1.708315244,1.671173529,1.574656158,-0.863259979,-0.105928601,1.205555343,2
20180105,1.692803007,-1.82167455,-0.238635106,1.660345009,1.569656748,1.643833649,1.623117988,-0.965789198,-0.278721305,1.371800996,1
20180108,1.778260309,-1.82167455,-0.2225599,1.750909282,1.752642717,1.741829002,1.722983591,-0.954912904,-0.252637405,1.453099678,1
20180109,1.761721935,-1.82167455,-0.226578702,1.750909282,1.752804891,1.793214801,1.74560981,-0.697653162,0.028190558,1.430628935,2
20180110,1.704894998,-1.82167455,-0.238635106,1.660345009,1.783077311,1.749789409,1.721913794,-0.412558452,0.396139309,1.364234281,2
20180111,1.640693573,-1.788910267,-0.25069151,1.660345009,1.677826593,1.671283328,1.667568077,-0.411257715,0.160685594,1.30295369,2
20180112,1.686838348,-1.788910267,-0.242653907,1.660345009,1.694098018,1.662224934,1.658635267,-0.434016534,0.454121711,1.344830468,1
20180115,1.726476221,-1.82167455,-0.236625705,1.660345009,1.75410228,1.730464835,1.733681567,-0.574009453,-0.338098243,1.385095704,1
20180116,1.824133963,-1.854438833,-0.216531698,1.750909282,1.717288855,1.792226612,1.746358668,-0.831473713,-0.100732003,1.489661474,1
20180117,1.789918507,-1.82167455,-0.2225599,1.750909282,1.78772629,1.778062578,1.788829632,-0.851491984,-0.27626452,1.453051415,2
20180118,1.791979026,-1.82167455,-0.2225599,1.750909282,1.844378962,1.833565828,1.821993357,-0.866221407,-0.239868331,1.460948468,1
20180119,1.816108784,-1.854438833,-0.218541099,1.750909282,1.801132647,1.791018826,1.824132952,-0.789596503,-0.29499747,1.478042851,1
20180122,1.717691904,-1.82167455,-0.236625705,1.660345009,1.786158611,1.75143639,1.692280401,-0.825800369,-0.258475591,1.382718646,2
20180123,1.904711089,-1.887203117,-0.200456493,1.841473555,1.750750691,1.858380338,1.796692644,-0.71530311,-0.123209693,1.568241636,1
20180124,1.912302474,-1.887203117,-0.200456493,1.841473555,1.877840798,1.916683455,1.921591511,-0.7108896,-0.145202832,1.573612764,1
20180125,2.043687653,-1.9199674,-0.174334283,1.932037828,1.894598745,2.011165249,1.950583025,-0.123847855,0.184029383,1.705989641,1
20180126,2.111630547,-1.952731683,-0.162277879,2.022602101,2.022878126,2.067876285,2.040446022,-0.589970077,0.126127591,1.772930208,1
20180129,2.238677792,-1.985495966,-0.13615567,2.113166375,2.175213269,2.245420807,2.222418589,-0.439338106,0.196161944,1.901050106,1
20180130,2.073565175,-1.9199674,-0.170315482,1.932037828,2.183538185,2.201885617,2.112871317,-0.604736314,0.187153731,1.734098276,2
20180131,2.06662448,-1.9199674,-0.168306081,1.932037828,2.004930905,2.190741047,2.037664548,-0.580145008,1.072265486,1.733310403,2
20180201,2.077903109,-1.9199674,-0.16428728,1.932037828,2.121371608,2.117175908,2.099605827,0.205598739,0.239440057,1.746274814,1
20180202,1.843925787,-1.854438833,-0.210503496,1.841473555,2.051528809,2.019729549,1.858954863,-0.257958822,0.301429625,1.507883776,2
20180205,1.661515657,-1.788910267,-0.244663308,1.660345009,1.626363478,1.679353533,1.627022749,-0.419397551,0.252263467,1.331914642,2
20180206,1.453077923,-1.723381701,-0.286860723,1.479216462,1.354344159,1.439388443,1.26938942,0.155246282,0.691284338,1.12563483,2
20180207,1.145355721,-1.625088852,-0.347142744,1.298087916,1.606794521,1.570597907,1.200815395,-0.34689574,0.333861042,0.817237937,2
20180208,1.20532766,-1.625088852,-0.33709574,1.298087916,1.155140822,1.239554782,1.184233533,-0.7463572,0.007169803,0.864334795,1
20180209,0.967554646,-1.657853135,-0.33508634,1.298087916,0.866255439,0.959677858,0.93427533,-0.228123662,0.380054217,0.893794889,2
20180212,1.084733091,-1.690617418,-0.310973531,1.388652189,1.048754887,1.096926252,1.0443575,-0.787784469,-0.185105515,1.014018837,1
20180213,1.137927009,-1.723381701,-0.300926528,1.479216462,1.169844569,1.228135716,1.157916513,-0.49684462,0.02448075,1.081819224,1
20180214,1.282380215,-1.756145984,-0.270785517,1.569780735,1.22163203,1.254652105,1.262114796,-0.97818711,-0.382395016,1.231114204,1
20180219,1.396196761,-1.82167455,-0.24868211,1.660345009,1.438133893,1.411060374,1.369789922,-0.91111322,-0.420259186,1.344004603,1
20180220,1.245995792,-1.756145984,-0.27882312,1.569780735,1.334504912,1.319707844,1.279285047,-0.504739034,-0.62828671,1.194306037,2
20180221,1.324783521,-1.788910267,-0.262747914,1.569780735,1.250066482,1.286603531,1.240718845,-0.460608031,-0.351346195,1.270508653,1
20180222,1.241440962,-1.756145984,-0.27882312,1.569780735,1.247093298,1.232637463,1.24719112,-0.799217054,-0.677435851,1.18261599,2
20180223,1.443371795,-1.82167455,-0.238635106,1.660345009,1.300880902,1.391296606,1.364333955,-0.99929751,-0.556500752,1.380780638,1
20180226,1.476611215,-1.82167455,-0.232606904,1.750909282,1.507490171,1.47123007,1.475218473,-0.914700475,-0.491138441,1.415236758,1
20180227,1.468423365,-1.82167455,-0.234616305,1.750909282,1.554682711,1.551987024,1.519508093,-1.119333513,-0.470795996,1.408572837,2
20180228,1.312366185,-1.788910267,-0.264757315,1.569780735,1.408888573,1.438510053,1.359412886,-0.725328607,-0.02469526,1.260591548,2
20180302,1.17572126,-1.723381701,-0.290879524,1.479216462,1.189737873,1.165221052,1.151016318,-0.918230464,-0.350263346,1.114633221,2
20180305,1.028773741,-1.690617418,-0.321020535,1.388652189,1.18622411,1.152264804,1.084421419,-0.951538348,-0.437701794,0.965132175,2
20180306,1.225878623,-1.756145984,-0.280832521,1.569780735,1.157843716,1.17987918,1.18107763,-0.592170697,-0.19481234,1.167534985,1
20180307,1.173877638,-1.723381701,-0.288870124,1.479216462,1.226605357,1.270023925,1.193754731,-0.539564446,0.509205768,1.122838801,2
20180308,1.343382413,-1.788910267,-0.256719712,1.660345009,1.265959503,1.290062191,1.259814732,-0.613694224,0.537974548,1.288597573,1
20180309,1.486371567,-1.854438833,-0.226578702,1.750909282,1.388995268,1.528050905,1.411939947,-0.440197083,0.394863895,1.441999885,1
20180312,1.62014261,-1.887203117,-0.200456493,1.841473555,1.617173636,1.599584767,1.619908595,-0.628194587,-0.203157767,1.577541917,1
20180313,1.676373082,-1.9199674,-0.190409489,1.932037828,1.603172642,1.627199144,1.640502198,-0.796312891,0.17244795,1.643220263,1
20180314,1.630770549,-1.887203117,-0.198447092,1.841473555,1.572792106,1.585969727,1.619159737,-0.752697274,-0.26014181,1.60108284,2
20180315,1.66493178,-1.887203117,-0.19241889,1.841473555,1.61911972,1.638288814,1.599208012,-0.821644553,-0.353847166,1.630488951,1
20180316,1.673553424,-1.9199674,-0.194428291,1.932037828,1.668366461,1.645370831,1.630446101,-0.683570018,-0.204408402,1.636139916,1
20180319,1.570852834,-1.887203117,-0.214522298,1.841473555,1.651500398,1.622093504,1.598512644,-0.276770434,-0.375138409,1.531518207,2
20180320,1.627733995,-1.887203117,-0.206484695,1.841473555,1.461270672,1.57795442,1.523038425,-1.036446252,-0.557391035,1.582771092,1
20180321,1.624751665,-1.887203117,-0.206484695,1.841473555,1.631120573,1.618360347,1.667354118,-0.59641241,-0.395746565,1.582089725,2
20180322,1.684669381,-1.9199674,-0.194428291,1.932037828,1.666906898,1.70526603,1.675698539,-0.256649903,-0.021584049,1.649943232,1
20180323,1.254888557,-1.788910267,-0.276813719,1.569780735,1.406834373,1.385147878,1.286720141,-0.355575506,0.203128657,1.214838365,2
20180326,1.365072084,-1.82167455,-0.252700911,1.660345009,1.233578825,1.312021934,1.21622048,-0.973421829,-0.394823143,1.334804553,1
20180327,1.446299901,-1.854438833,-0.236625705,1.750909282,1.451540251,1.418910982,1.459492449,-0.870242241,-0.282293182,1.427944229,1
20180328,1.268607274,-1.788910267,-0.272794918,1.569780735,1.294448013,1.277380439,1.269870829,-0.178241597,0.152249407,1.248259611,2
20180329,1.361222168,-1.82167455,-0.254710312,1.660345009,1.271527466,1.32514288,1.292550537,-0.865211086,0.001696447,1.339325261,1
20180330,1.412626687,-1.82167455,-0.24868211,1.660345009,1.446675041,1.428188974,1.463771639,-0.611730847,-0.243812503,1.393987798,1
20180402,1.403462801,-1.82167455,-0.25069151,1.660345009,1.45002663,1.479135577,1.437936028,-0.632223601,-0.122229248,1.383592376,2
20180403,1.394082019,-1.82167455,-0.252700911,1.660345009,1.274554708,1.34139309,1.307153274,-0.195282079,0.208685906,1.374622184,2
20180404,1.207713524,-1.756145984,-0.288870124,1.569780735,1.413537552,1.371807334,1.250828432,0.027900788,0.251070154,1.186508776,2
20180405,1.367457948,-1.82167455,-0.256719712,1.660345009,1.299745686,1.36527431,1.33111674,0.18881186,0.094299846,1.355332106,1
20180406,1.324403952,-1.788910267,-0.266766716,1.660345009,1.267094719,1.294948233,1.311432465,-0.370480814,0.0149235,1.309251395,2
20180409,1.403029008,-1.82167455,-0.25069151,1.660345009,1.28477165,1.362529342,1.348393971,-0.860850751,-0.192178812,1.3886062,1
20180410,1.439142309,-1.854438833,-0.242653907,1.660345009,1.370129063,1.406888023,1.323788627,-0.771005771,0.080315069,1.422293198,1
20180411,1.403788146,-1.82167455,-0.25069151,1.660345009,1.459811109,1.432306425,1.439594214,-0.775922396,0.06479424,1.386049645,2
20180412,1.395600295,-1.82167455,-0.252700911,1.660345009,1.429646804,1.410127085,1.441626829,-0.42259213,0.269231377,1.381189405,2
20180413,1.462621378,-1.854438833,-0.234616305,1.750909282,1.421375946,1.426047899,1.44574555,-0.609452511,-0.097684682,1.468281627,1
20180416,1.475743628,-1.854438833,-0.232606904,1.750909282,1.511220165,1.471669265,1.486504838,-0.808702622,-0.307615476,1.484998132,1
20180417,1.455572235,-1.854438833,-0.236625705,1.750909282,1.475271666,1.468759599,1.481744238,-0.614299599,-0.265844753,1.468410326,2
20180418,1.597693801,-1.887203117,-0.206484695,1.841473555,1.519382907,1.584597243,1.580540044,0.418866549,0.284588301,1.623219871,1
20180419,1.630878997,-1.9199674,-0.200456493,1.841473555,1.604307858,1.605678596,1.628466976,0.745053118,0.856029868,1.663810156,1
20180420,1.577901977,-1.887203117,-0.210503496,1.841473555,1.579062821,1.575923144,1.606322166,-0.05384526,0.176284046,1.60561309,2
20180423,1.56586421,-1.887203117,-0.214522298,1.841473555,1.552628512,1.539799367,1.575298036,0.640306919,0.633394189,1.593555062,2
20180424,1.511802706,-1.854438833,-0.224569301,1.750909282,1.578414127,1.543916819,1.510414813,-0.084273524,0.313411416,1.535713792,2
20180425,1.428677043,-1.854438833,-0.240644507,1.750909282,1.393103668,1.402386276,1.414507461,-0.322267621,0.082650045,1.452801952,2
20180426,1.574160509,-1.887203117,-0.212512897,1.841473555,1.481920787,1.570103812,1.519829032,-0.098029438,0.200212102,1.604771085,1
20180427,1.665040229,-1.9199674,-0.194428291,1.932037828,1.682637745,1.702081867,1.669547203,-0.326922463,0.312920895,1.698442499,1
20180430,1.789647386,-1.952731683,-0.168306081,2.022602101,1.707180029,1.741883901,1.755291478,0.823837738,0.659559594,1.828845789,1
20180502,1.736670366,-1.133624605,-0.469716187,1.841473555,1.779941953,1.748416925,1.76326147,1.074565158,1.331898339,1.773743746,2
20180503,1.637114778,-1.100860322,-0.487800793,1.841473555,1.732316949,1.700874082,1.685915105,0.283131705,0.183603349,1.675089139,2
20180504,1.496836833,-1.035331756,-0.511913602,1.660345009,1.621660441,1.590306776,1.547536789,0.274631916,1.064469693,1.539470287,2
20180508,1.434099461,-1.002567473,-0.523970006,1.660345009,1.524248117,1.546277491,1.454999299,0.694753836,0.710437053,1.482631843,2
20180509,1.402486766,-1.002567473,-0.527988807,1.660345009,1.428349415,1.393163184,1.373213274,0.19831379,0.542864533,1.440885206,2
