년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
2019-01-02,"2,010.00",-31.04,-1.52,"2,050.55","2,053.45","2,004.27","326,368","4,295,871,822,881","1,323,645,396,533,230"
2019-01-03,"1,993.70",-16.3,-0.81,"2,011.81","2,014.72","1,991.65","427,976","5,358,519,356,361","1,312,758,913,016,840"
2019-01-04,"2,010.25",16.55,0.83,"1,992.40","2,011.56","1,984.53","408,991","5,490,147,620,731","1,323,719,372,668,570"
2019-01-07,"2,037.10",26.85,1.34,"2,034.24","2,048.06","2,030.90","440,191","5,301,385,184,683","1,342,381,870,636,240"
2019-01-08,"2,025.27",-11.83,-0.58,"2,038.68","2,042.70","2,023.59","397,831","4,826,641,977,635","1,333,996,220,969,880"
2019-01-09,"2,064.71",39.44,1.95,"2,034.19","2,068.23","2,034.19","386,248","5,532,688,944,833","1,360,852,002,032,050"
2019-01-10,"2,063.28",-1.43,-0.07,"2,065.73","2,072.81","2,057.16","382,877","5,434,257,496,719","1,359,857,820,274,130"
2019-01-11,"2,075.57",12.29,0.6,"2,070.36","2,076.99","2,063.99","380,061","4,592,460,536,252","1,368,311,381,419,710"
2019-01-14,"2,064.52",-11.05,-0.53,"2,070.49","2,073.94","2,059.46","432,891","4,941,021,266,486","1,360,565,230,505,120"
2019-01-15,"2,097.18",32.66,1.58,"2,069.14","2,098.01","2,067.58","439,489","5,236,963,734,010","1,382,450,777,672,370"
2019-01-16,"2,106.10",8.92,0.43,"2,098.65","2,106.35","2,091.92","500,078","5,352,467,226,713","1,388,695,520,077,810"
2019-01-17,"2,107.06",0.96,0.05,"2,110.14","2,117.43","2,101.70","475,885","5,857,766,808,901","1,389,975,886,942,780"
2019-01-18,"2,124.28",17.22,0.82,"2,116.43","2,124.50","2,113.44","456,738","5,356,125,356,124","1,401,233,933,236,190"
2019-01-21,"2,124.61",0.33,0.02,"2,133.87","2,134.17","2,114.45","398,035","5,320,635,085,503","1,401,780,023,623,730"
2019-01-22,"2,117.77",-6.84,-0.32,"2,126.03","2,129.37","2,108.91","419,441","4,897,406,432,421","1,397,318,461,758,310"
2019-01-23,"2,127.78",10.01,0.47,"2,108.72","2,131.05","2,106.74","408,600","5,170,561,792,658","1,403,936,953,766,210"
2019-01-24,"2,145.03",17.25,0.81,"2,127.88","2,145.08","2,125.48","413,652","6,035,836,296,861","1,415,738,357,524,600"
2019-01-25,"2,177.73",32.7,1.52,"2,147.92","2,178.01","2,146.64","410,002","7,065,652,406,289","1,437,842,917,491,480"
2019-01-28,"2,177.30",-0.43,-0.02,"2,184.41","2,188.15","2,169.17","371,619","6,060,559,291,829","1,437,491,622,562,730"
2019-01-29,"2,183.36",6.06,0.28,"2,172.83","2,183.36","2,162.53","552,587","6,504,582,924,510","1,441,345,148,964,520"
2019-01-30,"2,206.20",22.84,1.05,"2,183.49","2,206.20","2,177.88","480,390","6,875,692,507,420","1,456,059,990,001,780"
2019-01-31,"2,204.85",-1.35,-0.06,"2,222.88","2,222.88","2,201.22","545,248","7,762,306,856,437","1,455,505,296,056,490"
2019-02-01,"2,203.46",-1.39,-0.06,"2,211.93","2,218.78","2,201.41","479,379","6,873,999,624,152","1,454,699,810,793,700"
2019-02-07,"2,203.42",-0.04,0,"2,215.77","2,215.79","2,196.77","427,843","6,339,360,759,652","1,454,323,219,046,600"
2019-02-08,"2,177.05",-26.37,-1.2,"2,192.01","2,192.48","2,171.96","391,029","5,728,529,606,483","1,436,388,008,944,810"
2019-02-11,"2,180.73",3.68,0.17,"2,180.54","2,181.58","2,167.36","406,060","5,327,610,302,057","1,438,816,002,281,240"
2019-02-12,"2,190.47",9.74,0.45,"2,182.71","2,195.05","2,178.59","429,940","5,929,463,237,358","1,446,167,642,881,570"
2019-02-13,"2,201.48",11.01,0.5,"2,200.00","2,203.71","2,194.75","421,990","5,585,494,555,665","1,453,501,270,517,370"
2019-02-14,"2,225.85",24.37,1.11,"2,195.92","2,225.85","2,186.09","573,362","6,426,022,765,504","1,469,357,630,739,560"
2019-02-15,"2,196.09",-29.76,-1.34,"2,210.94","2,210.94","2,187.71","400,592","5,097,630,832,616","1,449,296,807,078,930"
2019-02-18,"2,210.89",14.8,0.67,"2,207.36","2,217.32","2,203.00","314,371","4,668,186,939,202","1,458,936,951,056,950"
2019-02-19,"2,205.63",-5.26,-0.24,"2,208.96","2,213.87","2,193.34","389,094","4,534,559,338,232","1,455,230,606,553,820"
2019-02-20,"2,229.76",24.13,1.09,"2,216.74","2,234.68","2,213.83","374,342","5,948,416,944,791","1,471,936,799,830,700"
2019-02-21,"2,228.66",-1.1,-0.05,"2,224.26","2,234.31","2,213.19","382,511","5,480,909,639,767","1,471,404,502,700,450"
2019-02-22,"2,230.50",1.84,0.08,"2,222.32","2,230.50","2,217.08","409,311","4,645,184,004,326","1,472,581,253,373,870"
2019-02-25,"2,232.56",2.06,0.09,"2,241.13","2,241.76","2,224.64","339,234","4,689,860,737,887","1,473,911,027,224,690"
2019-02-26,"2,226.60",-5.96,-0.27,"2,230.37","2,235.70","2,221.76","331,962","5,024,237,669,533","1,469,933,629,795,970"
2019-02-27,"2,234.79",8.19,0.37,"2,234.46","2,237.77","2,228.16","301,513","4,914,612,941,695","1,475,176,574,151,260"
2019-02-28,"2,195.44",-39.35,-1.76,"2,231.58","2,233.93","2,195.44","510,022","8,307,295,774,617","1,448,767,023,638,720"
2019-03-04,"2,190.66",-4.78,-0.22,"2,210.97","2,216.02","2,188.56","373,166","6,405,237,020,767","1,445,642,000,022,300"
2019-03-05,"2,179.23",-11.43,-0.52,"2,183.35","2,185.74","2,171.33","313,146","4,980,940,796,207","1,437,785,625,516,100"
2019-03-06,"2,175.60",-3.63,-0.17,"2,177.11","2,179.01","2,168.46","328,943","4,828,088,089,894","1,435,423,976,972,670"
2019-03-07,"2,165.79",-9.81,-0.45,"2,173.19","2,181.19","2,155.19","292,578","4,858,918,520,562","1,429,496,101,537,030"
2019-03-08,"2,137.44",-28.35,-1.31,"2,152.80","2,159.67","2,137.44","313,315","4,497,331,235,658","1,410,568,349,920,830"
2019-03-11,"2,138.10",0.66,0.03,"2,140.29","2,145.31","2,125.54","272,103","4,077,476,409,974","1,410,561,695,000,350"
2019-03-12,"2,157.18",19.08,0.89,"2,154.61","2,161.69","2,150.96","355,283","4,222,805,054,027","1,424,679,600,994,820"
2019-03-13,"2,148.41",-8.77,-0.41,"2,152.66","2,154.11","2,134.16","285,601","4,088,450,721,573","1,419,083,069,943,010"
2019-03-14,"2,155.68",7.27,0.34,"2,154.35","2,158.34","2,142.31","341,010","5,882,524,412,188","1,423,787,458,371,480"
2019-03-15,"2,176.11",20.43,0.95,"2,152.96","2,181.77","2,152.59","387,136","6,821,323,565,354","1,437,037,920,963,020"
2019-03-18,"2,179.49",3.38,0.16,"2,179.69","2,183.90","2,172.34","257,951","4,093,226,224,639","1,439,426,927,693,640"
2019-03-19,"2,177.62",-1.87,-0.09,"2,183.03","2,183.76","2,171.05","319,703","3,867,859,299,559","1,438,506,503,408,290"
2019-03-20,"2,177.10",-0.52,-0.02,"2,171.41","2,177.19","2,152.21","317,607","4,175,741,034,585","1,438,253,702,940,600"
2019-03-21,"2,184.88",7.78,0.36,"2,183.11","2,200.32","2,173.70","342,747","6,229,925,336,110","1,445,055,041,479,250"
2019-03-22,"2,186.95",2.07,0.09,"2,192.72","2,195.42","2,178.77","333,618","6,881,722,527,179","1,446,842,699,649,700"
2019-03-25,"2,144.86",-42.09,-1.92,"2,158.80","2,159.25","2,143.70","307,071","4,136,472,112,423","1,418,438,626,634,450"
2019-03-26,"2,148.80",3.94,0.18,"2,152.98","2,153.90","2,143.63","301,254","4,248,900,137,963","1,421,123,429,431,260"
2019-03-27,"2,145.62",-3.18,-0.15,"2,147.19","2,152.91","2,132.42","363,169","4,490,155,588,700","1,419,130,931,621,680"
2019-03-28,"2,128.10",-17.52,-0.82,"2,131.25","2,136.40","2,120.93","288,036","4,403,905,967,205","1,409,454,255,770,860"
2019-03-29,"2,140.67",12.57,0.59,"2,138.45","2,143.30","2,124.07","364,619","5,248,941,127,868","1,417,246,090,700,780"
2019-04-01,"2,168.28",27.61,1.29,"2,153.31","2,171.49","2,153.31","263,313","4,365,111,400,005","1,435,481,137,484,240"
2019-04-02,"2,177.18",8.9,0.41,"2,177.20","2,181.37","2,171.84","257,453","4,247,457,375,716","1,441,635,794,811,690"
2019-04-03,"2,203.27",26.09,1.2,"2,176.81","2,203.29","2,172.83","358,645","5,466,968,835,112","1,458,945,250,841,840"
2019-04-04,"2,206.53",3.26,0.15,"2,201.04","2,216.15","2,198.66","431,013","4,857,554,113,287","1,461,266,733,697,700"
2019-04-05,"2,209.61",3.08,0.14,"2,206.36","2,214.82","2,205.26","517,153","4,215,786,976,690","1,463,238,721,453,820"
2019-04-08,"2,210.60",0.99,0.04,"2,217.66","2,217.87","2,202.49","347,910","4,660,047,203,880","1,464,185,952,042,600"
2019-04-09,"2,213.56",2.96,0.13,"2,212.32","2,221.62","2,203.54","414,809","4,904,129,876,338","1,466,472,414,510,090"
2019-04-10,"2,224.39",10.83,0.49,"2,206.20","2,225.02","2,203.82","399,695","5,135,093,645,085","1,473,098,586,564,390"
2019-04-11,"2,224.44",0.05,0,"2,227.69","2,230.41","2,217.18","402,016","6,022,086,522,472","1,473,103,445,557,840"
2019-04-12,"2,233.45",9.01,0.41,"2,221.10","2,233.45","2,212.88","449,634","6,098,417,861,762","1,479,300,934,871,200"
2019-04-15,"2,242.88",9.43,0.42,"2,242.31","2,251.22","2,240.29","404,160","6,668,128,939,191","1,485,758,717,089,290"
2019-04-16,"2,248.63",5.75,0.26,"2,241.06","2,249.89","2,235.72","569,056","7,083,490,839,974","1,489,660,939,148,960"
2019-04-17,"2,245.89",-2.74,-0.12,"2,249.05","2,252.05","2,242.01","452,475","5,586,183,776,794","1,488,430,885,486,790"
2019-04-18,"2,213.77",-32.12,-1.43,"2,248.80","2,250.11","2,210.43","573,343","6,501,103,720,627","1,467,185,238,379,830"
2019-04-19,"2,216.15",2.38,0.11,"2,223.42","2,225.37","2,215.58","525,264","4,965,672,211,178","1,468,420,930,045,860"
2019-04-22,"2,216.65",0.5,0.02,"2,218.50","2,227.94","2,207.25","493,984","4,639,971,396,933","1,468,803,476,988,430"
2019-04-23,"2,220.51",3.86,0.17,"2,217.61","2,223.92","2,212.14","481,178","4,922,937,803,418","1,471,093,767,629,330"
2019-04-24,"2,201.03",-19.48,-0.88,"2,229.75","2,229.75","2,190.29","575,100","6,342,430,060,053","1,459,265,698,733,680"
2019-04-25,"2,190.50",-10.53,-0.48,"2,195.47","2,200.89","2,187.44","441,137","5,610,697,148,270","1,452,279,955,041,840"
2019-04-26,"2,179.31",-11.19,-0.51,"2,178.13","2,186.52","2,168.15","570,172","5,346,145,628,898","1,445,304,534,300,290"
2019-04-29,"2,216.43",37.12,1.7,"2,183.41","2,216.43","2,181.82","380,823","4,985,905,996,916","1,469,579,228,609,250"
2019-04-30,"2,203.59",-12.84,-0.58,"2,213.43","2,215.77","2,186.33","381,414","5,697,107,343,143","1,461,526,970,030,480"
2019-05-02,"2,212.75",9.16,0.42,"2,192.94","2,217.03","2,191.30","369,059","5,026,634,171,010","1,467,462,906,862,520"
2019-05-03,"2,196.32",-16.43,-0.74,"2,209.44","2,211.36","2,192.36","617,878","5,297,907,288,528","1,456,663,139,182,850"
2019-05-07,"2,176.99",-19.33,-0.88,"2,172.39","2,179.51","2,160.44","484,097","5,467,056,820,124","1,443,681,620,648,760"
2019-05-08,"2,168.01",-8.98,-0.41,"2,151.34","2,179.34","2,151.34","456,334","5,170,590,567,606","1,437,428,069,486,080"
2019-05-09,"2,102.01",-66,-3.04,"2,159.79","2,164.98","2,102.01","743,507","8,236,437,835,734","1,393,596,819,333,550"
2019-05-10,"2,108.04",6.03,0.29,"2,118.42","2,124.92","2,090.39","714,766","6,407,849,437,506","1,397,898,972,342,230"
2019-05-13,"2,079.01",-29.03,-1.38,"2,091.80","2,101.09","2,077.72","505,751","4,601,110,960,483","1,378,695,078,971,840"
