ds,y
2020-07-02,39450
2020-07-03,38750
2020-07-06,39200
2020-07-07,38600
2020-07-08,40400
2020-07-09,39600
2020-07-10,38350
2020-07-13,38250
2020-07-14,38750
2020-07-15,37450
2020-07-16,38000
2020-07-17,39650
2020-07-20,40000
2020-07-21,39000
2020-07-22,38350
2020-07-23,38850
2020-07-24,38300
2020-07-27,38700
2020-07-28,38950
2020-07-29,40400
2020-07-30,39450
2020-07-31,40700
2020-08-03,42650
2020-08-04,42950
2020-08-05,45000
2020-08-06,45050
2020-08-07,43950
2020-08-10,45600
2020-08-11,45700
2020-08-12,44250
2020-08-13,48250
2020-08-14,48500
2020-08-18,46750
2020-08-19,49300
2020-08-20,46500
2020-08-21,46700
2020-08-24,46800
2020-08-25,48700
2020-08-26,50400
2020-08-27,50900
2020-08-28,49000
2020-08-31,46650
