날짜,시가,고가,저가,종가,변동률,거래량,BPS,PER,EPS,PBR,시가총액,거래대금,상장주식수
2020-01-02,27250,27700,26500,27500,0.0,224040,18407,28.21,975,1.4942549030260228,500434,6101856100,18197609
2020-01-03,27600,28800,26600,28400,3.272727272727273,563162,18407,29.13,975,1.5429863638833052,516812,15640141250,18197609
2020-01-06,28400,30500,28000,30000,5.633802816901409,1141917,18407,30.77,975,1.6298554897593307,545928,34044089250,18197609
2020-01-07,30500,31200,29500,30750,2.5,634303,18407,31.54,975,1.6706416037377085,559576,19367506650,18197609
2020-01-08,30750,30950,29400,30550,-0.6504065040650406,457119,18407,31.33,975,1.6595181181072418,555937,13816712750,18197609
2020-01-09,31200,32250,30800,32050,4.909983633387888,500618,18407,32.87,975,1.7410903460639973,583233,15869070500,18197609
2020-01-10,32050,32050,31050,31750,-0.93603744149766,219049,18407,32.56,975,1.724669962514261,577774,6918612100,18197609
2020-01-13,32350,34850,32200,34700,9.291338582677165,1145821,18407,35.59,975,1.885165969468137,631457,38852669200,18197609
2020-01-14,35100,36750,34450,35000,0.8645533141210375,568891,18407,35.9,975,1.9015863530178736,636916,20185085050,18197609
2020-01-15,35100,35950,34500,35800,2.2857142857142856,288280,18407,36.72,975,1.9450209159558864,651474,10216209800,18197609
2020-01-16,35750,35750,34600,35150,-1.8156424581005588,323680,18407,36.05,975,1.9095316998967784,639646,11315048200,18197609
2020-01-17,35100,35300,34350,34950,-0.5689900426742532,241874,18407,35.85,975,1.8989379040582388,636006,8409827200,18197609
2020-01-20,34950,35600,34300,34450,-1.4306151645207439,266582,18407,35.33,975,1.8713940348780356,626908,9328546500,18197609
2020-01-21,34350,34550,33100,33300,-3.3381712626995643,359966,18407,34.15,975,1.8088906394306514,605980,12068515350,18197609
2020-01-22,33200,34500,33100,33950,1.951951951951952,231387,18407,34.82,975,1.8443798554897592,617809,7846625000,18197609
2020-01-23,33000,33950,32900,33300,-1.914580265095729,235061,18407,34.15,975,1.8088906394306514,605980,7854352050,18197609
2020-01-28,30500,32300,28000,31300,-6.006006006006006,752471,18407,32.1,975,1.7003042320856196,569585,23365571700,18197609
2020-01-29,31300,33150,31300,32750,4.63258785942492,300269,18407,33.59,975,1.7792280110827405,595972,9753320250,18197609
2020-01-30,32750,33250,31900,32550,-0.6106870229007634,237379,18407,33.38,975,1.7681045254522738,592332,7677217850,18197609
