날짜,시가,고가,저가,종가,거래량
2013-01-02,46926,47299,45878,46701,191531
2013-01-03,46775,48572,45503,48199,376018
2013-01-04,48272,50143,47599,49994,352898
2013-01-07,50667,54185,50593,53812,662864
2013-01-08,53212,55532,52688,52914,340827
2013-01-09,52912,54934,52838,54485,244726
2013-01-10,55233,55906,53511,54261,221185
2013-01-11,54484,57029,52388,54410,471749
2013-01-14,54858,54858,52912,53063,139505
2013-01-15,53137,53811,51266,51267,151115
2013-01-16,51640,52988,50667,52390,136741
2013-01-17,52388,53137,50966,51416,116466
2013-01-18,51790,52014,50667,51416,96615
2013-01-21,51490,53661,51191,53213,171366
2013-01-22,53586,54185,52613,52914,104025
2013-01-23,53062,53137,49545,49695,251604
2013-01-24,49844,50966,49619,49621,136311
2013-01-25,49769,50593,49171,49695,71025
2013-01-28,49320,50368,46476,46777,216081
2013-01-29,47000,47524,45428,46103,257372
2013-01-30,46177,47225,46177,46402,103293
2013-01-31,46102,47599,45803,46851,79849
2013-02-01,46626,47075,45129,46177,103544
2013-02-04,46402,47299,46177,47300,74155
2013-02-05,46850,47374,46326,46777,52537
2013-02-06,47225,48123,46701,47749,78001
2013-02-07,47000,47823,46476,46627,85324
2013-02-08,46402,48272,46027,47899,85340
2013-02-12,47599,48422,47449,47675,52172
2013-02-13,47898,49619,47823,48647,141468
2013-02-14,48871,48946,47973,48423,76850
2013-02-15,48647,49395,47374,47749,142976
2013-02-18,47749,48422,47225,47600,64346
2013-02-19,47524,48946,47149,48797,133681
2013-02-20,49395,50892,48721,50892,217324
2013-02-21,51042,51790,49844,49920,159570
2013-02-22,49919,51117,45503,45504,434922
2013-02-25,45952,47374,45952,46926,315150
2013-02-26,46626,47898,46626,47076,116873
2013-02-27,47524,49245,46926,48872,161399
2013-02-28,49171,50593,48347,50069,179602
2013-03-04,49769,50817,48721,50144,210192
2013-03-05,51191,52688,51042,52240,292862
2013-03-06,52688,52912,51042,52315,159114
2013-03-07,52314,52464,50219,50892,151574
2013-03-08,50966,53436,50966,53362,290065
2013-03-11,54334,54709,52912,53962,309042
2013-03-12,54260,54484,53436,53886,131010
2013-03-13,53736,55681,53362,55009,225598
2013-03-14,55233,55532,54035,54785,149410
2013-03-15,54784,55083,53811,55009,122142
2013-03-18,54634,55308,53736,53737,92095
2013-03-19,54185,55532,54185,55533,148280
2013-03-20,55832,56131,54260,55383,135283
2013-03-21,55906,56655,55158,55233,136912
2013-03-22,55083,56655,54858,56356,121741
2013-03-25,56505,56505,53661,54261,206302
2013-03-26,53886,54410,52014,52988,229142
2013-03-27,52688,53960,51790,53138,161124
2013-03-28,53212,54334,53212,54335,87176
2013-03-29,54260,54559,53287,53812,117026
2013-04-01,54110,54185,52838,52839,87880
2013-04-02,53511,55832,53436,55683,238450
2013-04-03,56355,56879,55757,56506,179894
2013-04-04,56056,56879,53886,56880,223959
2013-04-05,57103,57478,54410,54709,236198
2013-04-08,55083,55757,51416,51791,230105
2013-04-09,51191,53436,49919,53288,194318
2013-04-10,53287,54185,52388,53362,116905
2013-04-11,54260,56131,54185,56057,236655
2013-04-12,56879,57627,55158,56057,483509
2013-04-15,60547,64364,59873,63616,1934492
2013-04-16,65336,67357,64738,64813,2001197
2013-04-17,66085,66235,60771,63092,1229497
2013-04-18,63091,64139,59050,59350,827909
2013-04-19,58151,60697,56580,59948,733486
2013-04-22,58526,60547,58526,58826,401551
2013-04-23,58825,60472,58376,59125,301602
2013-04-24,59499,59873,57852,59500,298651
2013-04-25,59499,59948,58002,58078,353052
2013-04-26,58151,59499,57553,58377,300999
2013-04-29,59499,60023,56280,56281,293717
2013-04-30,56655,56804,53511,53737,501322
2013-05-02,52164,52314,50219,50593,488935
2013-05-03,51117,51940,50667,50668,205751
2013-05-06,50742,51490,48721,48872,386913
2013-05-07,49021,53362,48048,53138,514200
2013-05-08,53436,53436,51640,51641,230891
2013-05-09,52239,52763,51191,51866,138237
2013-05-10,51416,51416,49619,49621,214658
2013-05-13,49395,50069,47524,47824,183916
2013-05-14,49095,51042,49095,50069,246877
2013-05-15,52014,52014,49395,49470,218569
2013-05-16,48647,50293,48647,49845,111742
2013-05-20,49844,50293,49171,49171,87579
2013-05-21,48497,50518,48497,50369,124875
2013-05-22,50667,50667,49619,50144,93208
2013-05-23,50219,50892,48721,48872,140904
2013-05-24,49095,50143,48946,49546,130682
2013-05-27,49844,49919,48347,48423,115502
2013-05-28,48572,49095,48123,48573,113067
2013-05-29,48871,49619,48647,49022,118599
2013-05-30,49395,49395,48272,48348,82518
2013-05-31,48197,49320,48197,49246,95862
2013-06-03,48946,49695,47599,47600,110537
2013-06-04,47898,48123,45428,45729,222038
2013-06-05,45279,46102,45054,45055,96145
2013-06-07,45054,45428,43033,43184,151280
2013-06-10,43183,44680,43183,44382,101812
2013-06-11,44231,44530,42958,43184,90674
2013-06-12,42584,43632,42510,42585,93060
2013-06-13,42210,43258,41836,43109,77923
2013-06-14,43258,44081,42360,42361,83212
2013-06-17,42135,42659,40264,40414,107431
2013-06-18,40489,42285,39890,42211,181658
2013-06-19,41910,42210,40639,40639,97956
2013-06-20,40414,41611,39665,41163,89071
2013-06-21,40264,40414,39591,39891,106618
2013-06-24,39741,40264,38094,38095,85280
2013-06-25,37271,38019,33940,34652,246965
2013-06-26,35175,36671,34838,35962,249002
2013-06-27,36671,38992,36335,38544,192889
2013-06-28,38842,40564,38543,39143,170012
2013-07-01,39141,40489,38543,39966,87041
2013-07-02,39965,40414,38917,39068,98384
2013-07-03,39067,40339,38917,39217,100604
2013-07-04,39516,40339,38693,39966,72684
2013-07-05,40264,40713,39441,40265,72633
2013-07-08,40414,40713,39141,39217,66290
2013-07-09,39516,40040,38468,38469,65118
2013-07-10,38468,38468,36822,37010,101571
2013-07-11,37046,38318,37046,37571,90556
2013-07-12,37645,39067,37570,39068,113945
2013-07-15,39291,39815,38543,39367,93805
2013-07-16,39141,39815,38693,38769,55484
2013-07-17,38617,40189,38617,40040,82996
2013-07-18,40189,40788,39516,39517,88816
2013-07-19,39366,40414,39291,39442,84177
2013-07-22,39591,39965,39067,39517,61055
2013-07-23,39366,40189,39366,39816,70678
2013-07-24,40040,42584,40040,42361,218223
2013-07-25,43482,43707,42285,42436,171635
2013-07-26,42285,43033,42060,42286,72244
2013-07-29,41836,42884,41387,41912,64251
2013-07-30,41537,42809,41537,42361,69093
2013-07-31,42434,43258,42211,42510,73720
2013-08-01,42510,43033,41986,41986,50700
2013-08-02,42285,43033,41687,41986,78907
2013-08-05,42285,42510,41237,41238,70267
2013-08-06,41312,41611,39890,40115,130017
2013-08-07,40189,43108,40189,42061,199361
2013-08-08,42360,42884,42060,42061,111176
2013-08-09,42135,42584,41761,41912,64643
2013-08-12,42135,42584,40564,40714,96817
2013-08-13,41387,41836,40788,41088,66399
2013-08-14,41537,41687,40788,41014,49762
2013-08-16,40414,40788,39665,40414,62523
2013-08-19,40489,40788,40264,40714,60542
2013-08-20,40564,40564,38842,38918,114135
2013-08-21,38917,39516,37271,37571,139760
2013-08-22,36448,36859,35661,35887,177934
2013-08-23,36073,36747,36073,36635,74485
2013-08-26,36335,38019,36335,37795,77722
2013-08-27,37794,37869,36522,36523,81872
2013-08-28,35250,37083,35175,36186,89789
2013-08-29,36372,37121,36372,36860,73003
2013-08-30,37195,38393,37121,37870,129258
2013-09-02,38468,39516,38243,39442,90853
2013-09-03,39591,39741,38693,39292,71344
2013-09-04,39441,40489,39441,39891,96081
2013-09-05,39741,39815,38992,39068,61603
2013-09-06,38693,39291,38019,38319,70517
2013-09-09,38468,38917,37794,38319,79384
2013-09-10,38243,38767,37944,38319,61855
2013-09-11,38318,39815,38318,39741,104921
2013-09-12,40414,40414,39366,39966,92311
