ds,y
2019-07-01,28500
2019-07-02,29000
2019-07-03,28550
2019-07-04,28850
2019-07-05,29050
2019-07-08,27950
2019-07-09,27700
2019-07-10,28600
2019-07-11,29850
2019-07-12,28500
2019-07-15,28150
2019-07-16,28250
2019-07-17,27550
2019-07-18,27000
2019-07-19,27800
2019-07-22,27750
2019-07-23,27350
2019-07-24,27150
2019-07-25,26550
2019-07-26,25250
2019-07-29,24350
2019-07-30,25250
2019-07-31,25000
2019-08-01,24800
2019-08-02,24800
2019-08-05,22300
2019-08-06,22500
2019-08-07,23450
2019-08-08,26000
2019-08-09,23150
2019-08-12,23050
2019-08-13,22150
2019-08-14,21400
2019-08-16,21000
2019-08-19,21400
2019-08-20,21350
2019-08-21,22450
2019-08-22,21600
2019-08-23,21250
2019-08-26,19450
2019-08-27,20000
2019-08-28,20800
2019-08-29,20750
2019-08-30,21200
2019-09-02,21900
2019-09-03,21750
2019-09-04,22200
2019-09-05,22300
2019-09-06,21850
2019-09-09,22150
2019-09-10,22600
2019-09-11,23500
2019-09-16,23000
2019-09-17,22750
2019-09-18,22750
2019-09-19,22550
2019-09-20,24200
2019-09-23,24500
2019-09-24,23750
2019-09-25,22700
2019-09-26,23700
2019-09-27,23900
2019-09-30,23050
2019-10-01,24200
2019-10-02,23200
2019-10-04,22850
2019-10-07,23400
2019-10-08,23800
2019-10-10,23550
2019-10-11,23950
2019-10-14,25650
2019-10-15,26000
2019-10-16,25800
2019-10-17,25250
2019-10-18,24750
2019-10-21,24900
2019-10-22,26400
2019-10-23,26350
2019-10-24,26400
2019-10-25,25850
2019-10-28,26000
2019-10-29,25700
2019-10-30,26750
2019-10-31,26750
2019-11-01,26900
2019-11-04,27050
2019-11-05,26900
2019-11-06,26500
2019-11-07,26650
2019-11-08,25400
2019-11-11,26050
2019-11-12,26150
2019-11-13,25550
2019-11-14,25400
2019-11-15,25400
2019-11-18,25450
2019-11-19,24850
2019-11-20,24300
2019-11-21,23800
2019-11-22,24050
2019-11-25,24950
2019-11-26,25150
2019-11-27,24950
2019-11-28,24600
2019-11-29,24850
2019-12-02,24800
2019-12-03,24300
2019-12-04,24400
2019-12-05,24400
2019-12-06,25500
2019-12-09,25100
2019-12-10,25550
2019-12-11,25350
2019-12-12,25450
2019-12-13,26250
2019-12-16,25900
2019-12-17,26200
2019-12-18,26200
2019-12-19,26150
2019-12-20,26100
2019-12-23,26150
2019-12-24,26000
2019-12-26,26500
2019-12-27,26750
2019-12-30,27350
2020-01-02,27500
2020-01-03,28400
2020-01-06,30000
2020-01-07,30750
2020-01-08,30550
2020-01-09,32050
2020-01-10,31750
2020-01-13,34700
2020-01-14,35000
2020-01-15,35800
2020-01-16,35150
2020-01-17,34950
2020-01-20,34450
2020-01-21,33300
2020-01-22,33950
2020-01-23,33300
2020-01-28,31300
2020-01-29,32750
2020-01-30,32550
2020-01-31,31600
2020-02-03,33950
2020-02-04,34200
2020-02-05,33500
2020-02-06,33650
2020-02-07,33900
2020-02-10,32650
2020-02-11,32000
2020-02-12,32700
2020-02-13,33200
2020-02-14,32650
2020-02-17,34600
2020-02-18,34050
2020-02-19,33900
2020-02-20,32900
2020-02-21,31050
2020-02-24,30050
2020-02-25,30600
2020-02-26,31750
2020-02-27,32000
2020-02-28,30300
2020-03-02,30900
2020-03-03,29950
2020-03-04,29700
2020-03-05,29100
2020-03-06,26450
2020-03-09,25100
2020-03-10,25300
2020-03-11,25150
2020-03-12,23250
2020-03-13,22700
2020-03-16,22200
2020-03-17,22400
2020-03-18,21000
2020-03-19,19550
2020-03-20,21350
2020-03-23,19450
2020-03-24,21400
2020-03-25,24650
2020-03-26,24650
2020-03-27,24400
2020-03-30,23800
2020-03-31,24050
2020-04-01,23100
2020-04-02,24100
2020-04-03,23650
2020-04-06,25000
2020-04-07,25300
2020-04-08,26250
2020-04-09,26550
2020-04-10,28900
2020-04-13,28000
2020-04-14,28900
2020-04-16,30550
2020-04-17,30850
2020-04-20,29600
2020-04-21,28700
2020-04-22,29250
2020-04-23,29150
2020-04-24,28050
2020-04-27,28850
2020-04-28,29550
2020-04-29,29650
2020-05-04,29850
2020-05-06,30600
2020-05-07,30950
2020-05-08,30600
2020-05-11,30050
2020-05-12,29400
2020-05-13,30650
2020-05-14,30500
2020-05-15,29500
2020-05-18,30450
2020-05-19,33200
2020-05-20,33500
2020-05-21,32900
2020-05-22,31500
2020-05-25,31400
2020-05-26,32100
2020-05-27,32150
2020-05-28,30300
2020-05-29,29600
2020-06-01,30450
2020-06-02,30250
2020-06-03,30450
2020-06-04,30050
2020-06-05,29900
2020-06-08,31850
2020-06-09,31850
2020-06-10,31950
2020-06-11,32000
2020-06-12,30400
2020-06-15,28550
2020-06-16,29750
2020-06-17,29700
2020-06-18,29600
2020-06-19,29800
2020-06-22,30450
2020-06-23,31200
2020-06-24,31500
2020-06-25,32500
2020-06-26,33850
2020-06-29,37000
2020-06-30,37250
2020-07-01,35600
