년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
2019-01-02,"1,197.02",-18.04,-1.48,"1,221.64","1,223.47","1,193.77","111,212","4,392,187,016,841","1,271,537,073,075,890"
2019-01-03,"1,183.92",-13.1,-1.09,"1,197.28","1,198.39","1,182.21","140,974","5,271,465,102,896","1,259,769,230,098,850"
2019-01-04,"1,194.23",10.31,0.87,"1,182.99","1,195.02","1,177.32","131,221","5,400,552,677,598","1,271,921,188,776,450"
2019-01-07,"1,210.80",16.57,1.39,"1,209.54","1,218.32","1,207.02","129,403","5,006,245,974,595","1,288,743,714,959,950"
2019-01-08,"1,202.29",-8.51,-0.7,"1,209.71","1,214.66","1,201.08","156,253","5,020,631,465,141","1,280,259,471,913,860"
2019-01-09,"1,228.73",26.44,2.2,"1,208.47","1,230.85","1,208.17","141,195","5,469,229,150,886","1,305,753,928,477,990"
2019-01-10,"1,229.01",0.28,0.02,"1,229.30","1,234.35","1,224.29","138,689","5,413,585,549,430","1,305,390,332,608,100"
2019-01-11,"1,235.80",6.79,0.55,"1,233.67","1,237.97","1,228.83","116,867","4,314,073,789,013","1,312,569,402,777,990"
2019-01-14,"1,225.33",-10.47,-0.85,"1,231.73","1,233.44","1,222.17","106,935","4,259,534,590,933","1,303,192,409,806,090"
2019-01-15,"1,247.19",21.86,1.78,"1,228.31","1,247.47","1,227.12","121,071","4,641,693,969,234","1,323,963,728,188,520"
2019-01-16,"1,252.60",5.41,0.43,"1,247.61","1,252.88","1,242.80","119,049","4,528,666,029,505","1,328,630,131,019,770"
2019-01-17,"1,253.46",0.86,0.07,"1,254.59","1,260.63","1,250.52","144,403","5,306,273,463,275","1,327,955,672,658,290"
2019-01-18,"1,263.47",10.01,0.8,"1,258.97","1,263.53","1,257.15","123,830","4,703,403,382,027","1,339,174,563,446,490"
2019-01-21,"1,263.09",-0.38,-0.03,"1,268.30","1,268.89","1,255.84","127,369","4,796,531,294,513","1,337,941,966,866,340"
